low1,low2,high1,high2,tf1,train_final_price,train_n_trades,train_n_buy,train_n_sell,train_final_cash,train_final_position,train_final_equity,train_baseline,train_excess,train_excess_pct,train_max_drawdown,train_turnover,test_final_price,test_n_trades,test_n_buy,test_n_sell,test_final_cash,test_final_position,test_final_equity,test_baseline,test_excess,test_excess_pct,test_max_drawdown,test_turnover
1.2,0.8,1.5,0.3,60,0.831,128,78,50,8560.0,438906.8349510403,373291.57984431443,366200.0,7091.57984431443,1.9365319072404235,0.16615750193589754,1048040.0,0.851,134,82,52,250.0,462736.52743802464,394038.78484975896,370200.0,23838.78484975896,6.439434049097503,0.15854484807421693,1077030.0
1.2,0.8,1.5,0.5,60,0.831,133,79,54,8560.0,439973.68698909134,374178.1338879349,366200.0,7978.133887934906,2.1786274953399523,0.15617583662381568,1120540.0,0.851,146,87,59,300.0,459802.0418741734,391591.53763492155,370200.0,21391.53763492155,5.778373213106848,0.14967688138419846,1191600.0
1.2,0.8,1.2,0.3,60,0.831,163,79,84,239100.0,150000.0,363750.0,366200.0,-2450.0,-0.6690333151283452,0.06120445429300721,1367880.0,0.851,163,88,75,110410.0,330000.0,391240.0,370200.0,21040.0,5.683414370610481,0.13427497258628793,1353810.0
1.2,0.8,1.5,0.8,60,0.831,140,79,61,58240.0,380000.0,374020.0,366200.0,7820.0,2.1354451119606774,0.12908489114726587,1187020.0,0.851,157,88,69,59210.0,390000.0,391100.0,370200.0,20900.0,5.64559697460832,0.1408245165997811,1302610.0
1.2,0.3,2.5,0.8,60,0.831,46,36,10,0.0,451638.2978723404,375311.42553191487,366200.0,9111.425531914865,2.4881009098620606,0.18736632653202415,367180.0,0.851,73,51,22,0.0,458465.76322722476,390154.36450636823,370200.0,19954.364506368234,5.390157889348524,0.16907420421123864,571380.0
1.2,0.3,2.5,0.5,60,0.831,46,36,10,0.0,451531.91489361704,375223.02127659577,366200.0,9023.02127659577,2.4639599335324327,0.18738157947548265,366980.0,0.851,73,51,22,0.0,458077.59531525034,389824.033613278,370200.0,19624.033613278007,5.300927502236091,0.1694169703279542,570760.0
1.2,0.3,2.5,0.3,60,0.831,46,36,10,0.0,451457.44680851063,375161.1382978723,366200.0,8961.138297872327,2.4470612501016733,0.18739226047218976,366840.0,0.851,71,50,21,0.0,458049.4088158615,389800.0469022981,370200.0,19600.046902298112,5.2944481097509755,0.16946902654867257,553540.0
1.2,0.5,1.5,0.3,60,0.831,103,53,50,186160.0,230000.0,377290.0,366200.0,11090.0,3.028399781540142,0.08509863871296498,870440.0,0.851,121,69,52,73100.0,370000.0,387970.0,370200.0,17770.0,4.800108049702864,0.12464168447386251,1004180.0
1.2,0.8,1.2,0.5,60,0.831,167,79,88,272210.0,110000.0,363620.0,366200.0,-2580.0,-0.7045330420535226,0.05796775824299275,1400990.0,0.851,173,88,85,191680.0,230000.0,387410.0,370200.0,17210.0,4.64883846569422,0.12215434419381788,1435080.0
1.2,0.8,1.2,0.8,60,0.831,174,79,95,326160.0,40000.0,359400.0,366200.0,-6800.0,-1.8569087930092845,0.03858081770848152,1454940.0,0.851,190,88,102,335920.0,60000.0,386980.0,370200.0,16780.0,4.532685035116153,0.0844915586965057,1579320.0
1.2,0.5,2.5,0.8,60,0.831,46,36,10,0.0,456134.71502590674,379047.94818652846,366200.0,12847.948186528462,3.5084511705429993,0.18972730615635944,367180.0,0.851,74,52,22,0.0,454144.9087127592,386477.3173145581,370200.0,16277.31731455808,4.396898248124819,0.1796092666732978,571380.0
1.2,0.3,1.5,0.3,60,0.831,99,49,50,220450.0,190000.0,378340.0,366200.0,12140.0,3.315128345166576,0.06898759109710459,836150.0,0.851,113,61,52,139680.0,290000.0,386470.0,370200.0,16270.0,4.394921663965424,0.11330588419242195,937600.0
