low1,low2,high1,high2,tf1,train_final_price,train_n_trades,train_n_buy,train_n_sell,train_final_cash,train_final_position,train_final_equity,train_baseline,train_excess,train_excess_pct,train_max_drawdown,train_turnover,test_final_price,test_n_trades,test_n_buy,test_n_sell,test_final_cash,test_final_position,test_final_equity,test_baseline,test_excess,test_excess_pct,test_max_drawdown,test_turnover
1.2,0.8,1.2,0.8,60,1.194,162,78,84,280900.0,140000.0,448060.0,438800.0,9260.0,2.1103008204193254,0.0624126688402422,2195760.0,1.147,183,86,97,366410.0,90000.0,469640.0,429400.0,40240.0,9.37121564974383,0.08893809975746073,2143890.0
1.2,0.8,1.2,0.8,21,1.194,143,62,81,443230.0,10000.0,455170.0,438800.0,16370.0,3.730628988149499,0.0624126688402422,1931430.0,1.147,144,63,81,444440.0,20000.0,467380.0,429400.0,37980.0,8.844899860270145,0.0837794151604845,1690080.0
1.2,0.5,1.2,0.8,60,1.194,133,60,73,361740.0,70000.0,445320.0,438800.0,6520.0,1.4858705560619871,0.0624126688402422,1775260.0,1.147,149,65,84,454270.0,10000.0,465740.0,429400.0,36340.0,8.462971588262693,0.06314457450173995,1739530.0
2.5,0.8,1.2,0.8,60,1.194,60,20,40,435030.0,0.0,435030.0,438800.0,-3770.0,-0.8591613491340019,0.0624126688402422,777170.0,1.147,45,13,32,453420.0,10000.0,464890.0,429400.0,35490.0,8.265020959478342,0.03593799430559949,549640.0
1.2,0.5,1.2,0.5,60,1.194,130,60,70,341720.0,100000.0,461120.0,438800.0,22320.0,5.086599817684594,0.0624126688402422,1755240.0,1.147,142,65,77,373010.0,80000.0,464770.0,429400.0,35370.0,8.237074988355845,0.09938369948012746,1658270.0
2.5,0.5,1.2,0.8,60,1.194,60,20,40,434610.0,0.0,434610.0,438800.0,-4190.0,-0.954876937101185,0.0624126688402422,777590.0,1.147,43,12,31,452840.0,10000.0,464310.0,429400.0,34910.0,8.12994876571961,0.03593799430559949,526520.0
2.5,0.3,1.2,0.8,60,1.194,58,19,39,434920.0,0.0,434920.0,438800.0,-3880.0,-0.8842297174111212,0.0624126688402422,748800.0,1.147,43,12,31,452680.0,10000.0,464150.0,429400.0,34750.0,8.092687470889613,0.03593799430559949,526680.0
1.2,0.5,1.2,0.5,21,1.194,111,46,65,435300.0,10000.0,447240.0,438800.0,8440.0,1.9234275296262533,0.0624126688402422,1497380.0,1.147,117,49,68,452050.0,10000.0,463520.0,429400.0,34120.0,7.945971122496506,0.09060907343971927,1368970.0
1.2,0.5,1.2,0.3,21,1.194,111,46,65,441040.0,10000.0,452980.0,438800.0,14180.0,3.2315405651777573,0.0624126688402422,1503120.0,1.147,117,49,68,450950.0,10000.0,462420.0,429400.0,33020.0,7.689799720540289,0.09178622893302425,1367870.0
1.5,0.3,1.2,0.8,60,1.194,83,32,51,426330.0,10000.0,438270.0,438800.0,-530.0,-0.12078395624430265,0.0624126688402422,1079670.0,1.147,97,39,58,450620.0,10000.0,462090.0,429400.0,32690.0,7.612948299953423,0.04047242433828957,1142960.0
1.2,0.3,1.2,0.3,21,1.194,105,43,62,437380.0,10000.0,449320.0,438800.0,10520.0,2.3974475843208753,0.0624126688402422,1419540.0,1.147,105,43,62,450340.0,10000.0,461810.0,429400.0,32410.0,7.547741034000932,0.08641253263707571,1233640.0
1.2,0.3,1.2,0.5,60,1.194,117,51,66,399680.0,50000.0,459380.0,438800.0,20580.0,4.690063810391979,0.0624126688402422,1572360.0,1.147,135,58,77,450140.0,10000.0,461610.0,429400.0,32210.0,7.501164415463438,0.09431074962267315,1581140.0
1.5,0.8,1.2,0.8,60,1.194,98,40,58,417640.0,20000.0,441520.0,438800.0,2720.0,0.6198723792160438,0.0624126688402422,1296700.0,1.147,115,48,67,450090.0,10000.0,461560.0,429400.0,32160.0,7.489520260829064,0.04310872086892334,1348410.0
1.5,0.5,1.2,0.8,60,1.194,87,34,53,426660.0,10000.0,438600.0,438800.0,-200.0,-0.04557885141294439,0.0624126688402422,1136080.0,1.147,99,40,59,449260.0,10000.0,460730.0,429400.0,31330.0,7.296227293898464,0.04040915322155436,1164100.0
1.2,0.5,1.5,0.8,21,1.194,108,46,62,394120.0,40000.0,441880.0,438800.0,3080.0,0.7019143117593437,0.0624126688402422,1456200.0,1.147,117,49,68,449200.0,10000.0,460670.0,429400.0,31270.0,7.282254308337214,0.10264567983924983,1366120.0
1.5,0.8,1.2,0.5,60,1.194,98,40,58,431650.0,20000.0,455530.0,438800.0,16730.0,3.8126709206927982,0.0624126688402422,1310710.0,1.147,115,48,67,448890.0,10000.0,460360.0,429400.0,30960.0,7.210060549604099,0.07263541841355023,1347210.0
1.2,0.5,1.2,0.8,21,1.194,111,46,65,434250.0,10000.0,446190.0,438800.0,7390.0,1.6841385597082952,0.0624126688402422,1496330.0,1.147,117,49,68,448610.0,10000.0,460080.0,429400.0,30680.0,7.144853283651607,0.07049882431978502,1365530.0
1.2,0.8,1.2,0.5,60,1.194,151,78,73,137970.0,250000.0,436470.0,438800.0,-2330.0,-0.5309936189608021,0.118551597324658,2052830.0,1.147,163,86,77,126900.0,290000.0,459530.0,429400.0,30130.0,7.0167675826734985,0.17841657633619612,1904380.0
1.2,0.3,1.2,0.5,21,1.194,105,43,62,432000.0,10000.0,443940.0,438800.0,5140.0,1.171376481312671,0.0624126688402422,1414160.0,1.147,105,43,62,447820.0,10000.0,459290.0,429400.0,29890.0,6.960875640428505,0.086341606083396,1231120.0
2.5,0.3,1.2,0.8,21,1.194,36,8,28,433690.0,0.0,433690.0,438800.0,-5110.0,-1.1645396536007293,0.0624126688402422,450310.0,1.147,26,3,23,459080.0,0.0,459080.0,429400.0,29680.0,6.911970190964135,0.04040552762762131,327180.0
2.5,0.5,1.2,0.8,21,1.194,36,8,28,433760.0,0.0,433760.0,438800.0,-5040.0,-1.1485870556061988,0.0624126688402422,450240.0,1.147,26,3,23,458980.0,0.0,458980.0,429400.0,29580.0,6.88868188169539,0.04040552762762131,327280.0
1.2,0.5,1.2,0.3,60,1.194,124,60,64,269560.0,160000.0,460600.0,438800.0,21800.0,4.968094804010939,0.07864089326449754,1683080.0,1.147,132,65,67,252510.0,180000.0,458970.0,429400.0,29570.0,6.886353050768514,0.14238901296153283,1537770.0
1.2,0.5,1.5,0.8,60,1.194,123,60,63,253600.0,170000.0,456580.0,438800.0,17780.0,4.051959890610757,0.06967854428398981,1667120.0,1.147,128,65,63,206580.0,220000.0,458920.0,429400.0,29520.0,6.874708896134141,0.139254593175853,1491840.0
2.5,0.8,1.2,0.8,21,1.194,36,8,28,433430.0,0.0,433430.0,438800.0,-5370.0,-1.223792160437557,0.0624126688402422,450570.0,1.147,26,3,23,458880.0,0.0,458880.0,429400.0,29480.0,6.865393572426642,0.04040552762762131,327380.0
1.2,0.3,1.2,0.8,60,1.194,120,51,69,422210.0,20000.0,446090.0,438800.0,7290.0,1.661349134001823,0.0624126688402422,1594890.0,1.147,135,58,77,447210.0,10000.0,458680.0,429400.0,29280.0,6.818816953889148,0.061668248444585044,1578210.0
2.5,0.8,1.2,0.5,60,1.194,60,20,40,439580.0,0.0,439580.0,438800.0,780.0,0.17775752051048313,0.0624126688402422,781720.0,1.147,45,13,32,447130.0,10000.0,458600.0,429400.0,29200.0,6.80018630647415,0.05135837665604562,543350.0
2.5,0.5,1.2,0.5,60,1.194,60,20,40,439160.0,0.0,439160.0,438800.0,360.0,0.0820419325432999,0.0624126688402422,782140.0,1.147,43,12,31,446770.0,10000.0,458240.0,429400.0,28840.0,6.716348393106661,0.05049890994465873,520450.0
